,Prduct_url,title_name,best_price,Vehicle type:,Usage:,Manufacturer:,Width:,Height:,Construction:,Diameter:,Load index:,Speed index:,EAN:,EU tyre label:,Customer reviews:,Runflat:
27,https://www.tyres-online.in/continental-contisportcontact-5-225-50-r17-94y--9470072,Continental ContiSportContact 5 225/50 R17 94Y,['15500.0'],Car,Summer,Continental,225,50,R,17,94,Y,4019238762297,A,C,
28,https://www.tyres-online.in/bridgestone-potenza-re-050-a-rft-255-40-r17-94v--9404621,Bridgestone Potenza RE 050 A RFT 255/40 R17 94V,['18500.0'],Car,Summer,Bridgestone,255,40,R,17,94,V,3286340512213,B,E,Runflat
29,https://www.tyres-online.in/dunlop-sp-sport-maxx-gt-245-45-zr19-102y--8744986,Dunlop SP Sport Maxx GT 245/45 ZR19 102Y,['26500.0'],Car,Summer,Dunlop,245,45,ZR,19,102,Y,3188649805709,B,F,
30,https://www.tyres-online.in/pirelli-p-zero-235-55-r18-104y--3567832,Pirelli P ZERO 235/55 R18 104Y,['24000.0'],Car,Summer,Pirelli,235,55,R,18,104,Y,8019227206555,B,C,
31,https://www.tyres-online.in/michelin-pilot-sport-3-255-35-zr18-94y--8413345,Michelin Pilot Sport 3 255/35 ZR18 94Y,['16500.0'],Car,Summer,Michelin,255,35,ZR,18,94,Y,3528703540854,A,E,
32,https://www.tyres-online.in/pirelli-p-zero-245-45-zr19-102y--4354073,Pirelli P ZERO 245/45 ZR19 102Y,['23500.0'],Car,Summer,Pirelli,245,45,ZR,19,102,Y,8019227187557,B,C,
33,https://www.tyres-online.in/pirelli-cinturato-p7-225-45-r17-91y--8351928,Pirelli Cinturato P7 225/45 R17 91Y,['10000.0'],Car,Summer,Pirelli,225,45,R,17,91,Y,8019227228892,B,C,
34,https://www.tyres-online.in/yokohama-advan-a052-245-40-r18-97y--14323726,Yokohama Advan A052 245/40 R18 97Y,['229.0'],Car,Summer,Yokohama,245,40,R,18,97,Y,4968814900809,D,,
35,https://www.tyres-online.in/dunlop-sport-maxx-rt-245-35-zr19-93y--5079128,Dunlop Sport Maxx RT 245/35 ZR19 93Y,['27500.0'],Car,Summer,Dunlop,245,35,ZR,19,93,Y,5452000543332,A,D,
36,https://www.tyres-online.in/continental-contisportcontact-5p-235-45-zr19-99y--7569612,Continental ContiSportContact 5P 235/45 ZR19 99Y,['25500.0'],Car,Summer,Continental,235,45,ZR,19,99,Y,4019238616750,B,F,
37,https://www.tyres-online.in/pirelli-p-zero-255-40-r19-100y--1011934,Pirelli P ZERO 255/40 R19 100Y,['22500.0'],Car,Summer,Pirelli,255,40,R,19,100,Y,8019227199642,B,C,
38,https://www.tyres-online.in/pirelli-cinturato-p7-runflat-225-55-r17-97y--8745176,Pirelli Cinturato P7 runflat 225/55 R17 97Y,['14500.0'],Car,Summer,Pirelli,225,55,R,17,97,Y,8019227195156,B,D,Runflat
39,https://www.tyres-online.in/bridgestone-turanza-t001-215-55-r17-94v--10649755,Bridgestone Turanza T001 215/55 R17 94V,['10980.0'],Car,Summer,Bridgestone,215,55,R,17,94,V,3286340728416,C,,
40,https://www.tyres-online.in/pirelli-p-zero-275-40-zr19-105y--13594840,Pirelli P ZERO 275/40 ZR19 105Y,['23500.0'],Car,Summer,Pirelli,275,40,ZR,19,105,Y,8019227187571,B,C,
41,https://www.tyres-online.in/goodyear-efficientgrip-performance-rof-225-50-r17-94w--5144770,Goodyear EfficientGrip Performance ROF 225/50 R17 94W,['15500.0'],Car,Summer,Goodyear,225,50,R,17,94,W,5452000421302,C,,Runflat
42,https://www.tyres-online.in/michelin-primacy-3-215-50-r17-95w--6254768,Michelin Primacy 3 215/50 R17 95W,['11000.0'],Car,Summer,Michelin,215,50,R,17,95,W,3528705942267,A,C,
43,https://www.tyres-online.in/continental-contipremiumcontact-2-225-55-r16-95y--11497679,Continental CONTIPREMIUMCONTACT 2 225/55 R16 95Y,['16000.0'],Car,Summer,Continental,225,55,R,16,95,Y,4019238462951,B,F,
44,https://www.tyres-online.in/pirelli-p-zero-295-30-zr19-100y--13791244,Pirelli P ZERO 295/30 ZR19 100Y,['28500.0'],Car,Summer,Pirelli,295,30,ZR,19,100,Y,8019227173789,A,D,
45,https://www.tyres-online.in/continental-contisportcontact-5-245-40-r18-97y--12087520,Continental ContiSportContact 5 245/40 R18 97Y,['18000.0'],Car,Summer,Continental,245,40,R,18,97,Y,4019238519259,A,C,
